"Month","Division","Car Class","Total Miles","Number of Failures","Number of Cars","MDBF","12-Month Average MDBF"
"2018-11-01","A","R188-CONVERSION","1,247,200","5","380","249440.0","185,064"
"2018-11-01","A","R188-NEW","467,216","0","126",,"588,336"
"2018-11-01","B","R32","656,159","0","251",,
"2018-11-01","B","R42","79,548","0","50",,
"2018-11-01","B","R46","3,305,563","53","752","62369.0","66,743"
"2018-11-01","A","R62","1,324,400","0","315",,"343,343"
"2018-11-01","A","R62A","3,588,628","40","824","89716.0","100,139"
"2018-11-01","B","R68","2,029,764","34","425","59699.0","80,764"
"2018-11-01","B","R68A","601,039","8","200","75130.0","103,479"
"2018-10-01","A","R142","4,836,624","22","1,030","219847.0","180,855"
"2018-10-01","A","R142A","928,905","5","220","185781.0","72,208"
"2018-10-01","B","R143","852,088","13","212","65545.0","104,536"
"2018-10-01","B","R160","9,453,402","39","1,662","242395.0","253,749"
"2018-10-01","B","R179","336,148","2","80","168074.0","57,960"
"2018-10-01","A","R188-CONVERSION","1,229,925","5","380","245985.0","177,823"
"2018-10-01","A","R188-NEW","462,464","2","126","231232.0","528,902"
"2018-10-01","B","R32","679,456","0","251",,
"2018-10-01","B","R42","82,800","0","50",,
"2018-10-01","B","R46","3,433,302","61","752","56284.0","68,102"
"2018-10-01","A","R62","1,388,429","4","315","347107.0","310,840"
"2018-10-01","A","R62A","3,882,789","35","824","110937.0","101,195"
"2018-10-01","B","R68","2,066,392","22","425","93927.0","85,875"
"2018-10-01","B","R68A","675,207","8","200","84401.0","106,855"
"2018-09-01","A","R142","4,284,797","22","1,030","194764.0","182,997"
"2018-09-01","A","R142A","1,020,192","15","220","68013.0","68,404"
"2018-09-01","B","R143","1,101,210","7","212","157316.0","108,528"
"2018-09-01","B","R160","8,592,982","33","1,662","260393.0","249,626"
"2018-09-01","B","R179","180,420","8","80","22553.0","45,005"
"2018-09-01","A","R188-CONVERSION","1,279,065","10","380","127907.0","171,072"
"2018-09-01","A","R188-NEW","433,560","0","126",,"585,857"
"2018-09-01","B","R32","608,350","0","251",,
"2018-09-01","B","R42","82,632","0","50",,
"2018-09-01","B","R46","3,147,788","47","752","66974.0","69,444"
"2018-09-01","A","R62","1,187,220","6","315","197870.0","288,774"
"2018-09-01","A","R62A","3,573,753","37","824","96588.0","102,575"
"2018-09-01","B","R68","1,847,508","21","425","87977.0","86,669"
"2018-09-01","B","R68A","552,936","2","200","276468.0","113,203"
"2018-08-01","A","R142","4,580,604","25","1,030","183224.0","182,332"
"2018-08-01","A","R142A","1,087,575","17","220","63975.0","68,299"
"2018-08-01","B","R143","1,127,462","10","212","112746.0","105,012"
"2018-08-01","B","R160","9,222,565","34","1,662","271252.0","249,073"
"2018-08-01","B","R179","178,460","5","64","35692.0","64,963"
"2018-08-01","A","R188-CONVERSION","1,375,895","5","380","275179.0","175,331"
"2018-08-01","A","R188-NEW","466,243","1","126","466243.0","585,862"
"2018-08-01","B","R32","577,330","0","251",,
"2018-08-01","B","R42","92,204","0","50",,
"2018-08-01","B","R46","3,400,808","66","752","51527.0","70,343"
"2018-08-01","A","R62","1,302,930","5","315","260586.0","271,913"
"2018-08-01","A","R62A","3,780,363","33","824","114556.0","103,154"
"2018-08-01","B","R68","2,011,607","34","425","59165.0","87,883"
"2018-08-01","B","R68A","680,183","8","200","85023.0","107,795"
"2018-07-01","A","R142","4,675,399","24","1,030","194808.0","173,740"
"2018-07-01","A","R142A","1,035,270","12","220","86273.0","64,663"
"2018-07-01","B","R143","1,091,708","14","212","77979.0","102,814"
"2018-07-01","B","R160","8,866,912","45","1,662","197042.0","244,999"
"2018-07-01","B","R179","174,828","4","48","43707.0","101,551"
"2018-07-01","A","R188-CONVERSION","1,372,994","6","380","228832.0","169,290"
"2018-07-01","A","R188-NEW","439,875","1","126","439875.0","437,412"
"2018-07-01","B","R32","567,924","0","251",,
"2018-07-01","B","R42","102,304","0","50",,
"2018-07-01","B","R46","3,347,546","51","752","65638.0","71,497"
"2018-07-01","A","R62","1,160,590","5","315","232118.0","257,188"
"2018-07-01","A","R62A","3,726,137","40","824","93153.0","103,846"
"2018-07-01","B","R68","2,076,152","27","425","76895.0","91,984"
"2018-07-01","B","R68A","600,296","5","200","120059.0","100,798"
"2018-06-01","A","R142","4,642,285","27","1,030","171936.0","164,087"
"2018-06-01","A","R142A","1,043,445","14","220","74532.0","63,684"
"2018-06-01","B","R143","1,113,964","6","212","185661.0","102,746"
"2018-06-01","B","R160","8,739,608","32","1,662","273113.0","248,776"
"2018-06-01","B","R179","124,924","0","32",,
"2018-06-01","A","R188-CONVERSION","1,336,260","4","380","334065.0","163,229"
"2018-06-01","A","R188-NEW","420,473","1","126","420473.0","404,038"
"2018-06-01","B","R32","675,283","0","251",,
"2018-06-01","B","R42","86,276","0","50",,
"2018-06-01","B","R46","3,296,318","56","752","58863.0","71,354"
"2018-06-01","A","R62","1,169,760","3","315","389920.0","222,169"
"2018-06-01","A","R62A","3,546,198","48","824","73879.0","104,990"
"2018-06-01","B","R68","2,031,494","18","425","112861.0","95,438"
"2018-06-01","B","R68A","619,580","4","200","154895.0","97,099"
"2018-05-01","A","R142","4,934,852","33","1,030","149541.0","162,459"
"2018-05-01","A","R142A","1,049,705","13","220","80747.0","62,621"
"2018-05-01","B","R143","1,206,062","10","212","120606.0","97,235"
"2018-05-01","B","R160","8,922,412","35","1,662","254926.0","246,898"
"2018-05-01","B","R179","63,932","0","24",,
"2018-05-01","A","R188-CONVERSION","1,358,829","9","380","150981.0","164,116"
"2018-05-01","A","R188-NEW","428,218","0","126",,"441,333"
"2018-05-01","B","R32","723,249","0","251",,
"2018-05-01","B","R42","137,268","0","50",,
"2018-05-01","B","R46","3,445,288","43","752","80123.0","72,710"
"2018-05-01","A","R62","1,206,505","5","315","241301.0","199,958"
"2018-05-01","A","R62A","3,561,349","36","824","98926.0","110,146"
"2018-05-01","B","R68","2,047,221","23","425","89010.0","95,532"
"2018-05-01","B","R68A","668,512","11","200","60774.0","94,983"
"2018-04-01","A","R142","4,605,415","26","1,030","177131.0","164,591"
"2018-04-01","A","R142A","999,620","6","220","166603.0","62,756"
"2018-04-01","B","R143","1,158,139","14","212","82724.0","93,418"
"2018-04-01","B","R160","8,794,103","43","1,662","204514.0","251,443"
"2018-04-01","B","R179","35,984","0","16",,
"2018-04-01","A","R188-CONVERSION","1,239,165","8","380","154896.0","172,912"
"2018-04-01","A","R188-NEW","384,596","0","126",,"443,745"
"2018-04-01","B","R32","692,168","0","251",,
"2018-04-01","B","R42","120,380","0","50",,
"2018-04-01","B","R46","3,417,887","31","752","110254.0","71,794"
"2018-04-01","A","R62","1,164,785","2","315","582393.0","201,315"
"2018-04-01","A","R62A","3,530,149","31","824","113876.0","111,294"
"2018-04-01","B","R68","2,028,636","21","425","96602.0","98,704"
"2018-04-01","B","R68A","635,516","5","200","127103.0","101,234"
"2018-03-01","A","R142","4,778,875","23","1,030","207777.0","164,618"
"2018-03-01","A","R142A","1,001,249","16","220","62578.0","59,170"
"2018-03-01","B","R143","1,227,392","17","212","72200.0","95,365"
"2018-03-01","B","R160","8,959,226","32","1,662","279976.0","252,041"
"2018-03-01","B","R179","6,536","0","16",,
"2018-03-01","A","R188-CONVERSION","1,289,420","5","380","257884.0","165,100"
"2018-03-01","A","R188-NEW","398,395","2","126","199198.0","411,663"
"2018-03-01","B","R32","759,035","0","251",,
"2018-03-01","B","R42","135,540","0","50",,
"2018-03-01","B","R46","3,506,340","40","752","87659.0","70,664"
"2018-03-01","A","R62","1,134,860","2","315","567430.0","201,380"
"2018-03-01","A","R62A","3,744,157","35","824","106976.0","103,334"
"2018-03-01","B","R68","2,069,018","17","425","121707.0","99,325"
"2018-03-01","B","R68A","658,612","3","200","219537.0","95,998"
"2018-02-01","A","R142","4,159,013","28","1,030","148536.0","164,341"
"2018-02-01","A","R142A","857,960","8","220","107245.0","58,926"
"2018-02-01","B","R143","1,105,972","7","212","157996.0","96,623"
"2018-02-01","B","R160","7,824,806","26","1,662","300954.0","247,162"
"2018-02-01","A","R188-CONVERSION","1,137,835","4","380","284459.0","158,278"
"2018-02-01","A","R188-NEW","435,319","1","126","435319.0","488,652"
"2018-02-01","B","R32","672,718","0","251",,
"2018-02-01","B","R42","128,324","0","50",,
"2018-02-01","B","R46","3,152,775","40","752","78819.0","71,534"
"2018-02-01","A","R62","1,000,308","3","315","333436.0","193,785"
"2018-02-01","A","R62A","3,219,600","33","824","97564.0","102,999"
"2018-02-01","B","R68","1,783,767","22","425","81080.0","98,682"
"2018-02-01","B","R68A","590,524","9","200","65614.0","94,049"
"2018-01-01","A","R142","4,630,189","26","1,030","178084.0","167,250"
"2018-01-01","A","R142A","936,320","24","220","39013.0","55,571"
"2018-01-01","B","R143","1,182,359","9","212","131373.0","93,179"
"2018-01-01","B","R160","8,727,002","33","1,662","264455.0","246,024"
"2018-01-01","A","R188-CONVERSION","1,238,045","10","380","123805.0","154,592"
"2018-01-01","A","R188-NEW","456,734","0","126",,"486,051"
"2018-01-01","B","R32","674,860","0","251",,
"2018-01-01","B","R42","123,594","0","50",,
"2018-01-01","B","R46","3,541,548","57","752","62132.0","71,767"
"2018-01-01","A","R62","1,182,135","1","315","1182135.0","195,438"
"2018-01-01","A","R62A","3,766,994","39","824","96590.0","101,648"
"2018-01-01","B","R68","2,055,758","30","425","68525.0","100,291"
"2018-01-01","B","R68A","645,912","6","200","107652.0","95,311"
"2017-12-01","A","R142","4,950,409","25","1,030","198016.0","163,949"
"2017-12-01","A","R142A","894,500","15","220","59633.0","55,987"
"2017-12-01","B","R143","1,153,836","13","212","88757.0","90,858"
"2017-12-01","B","R160","8,753,748","31","1,662","282379.0","240,787"
"2017-12-01","A","R188-CONVERSION","1,255,678","12","380","104640.0","165,167"
"2017-12-01","A","R188-NEW","501,932","1","126","501932.0","444,911"
"2017-12-01","B","R32","599,493","0","251",,
"2017-12-01","B","R42","117,414","0","50",,
"2017-12-01","B","R46","3,517,557","62","752","56735.0","73,362"
"2017-12-01","A","R62","1,198,489","6","315","199748.0","189,219"
"2017-12-01","A","R62A","3,640,477","28","824","130017.0","101,238"
"2017-12-01","B","R68","2,020,430","29","425","69670.0","106,133"
"2017-12-01","B","R68A","625,664","4","200","156416.0","96,588"
"2017-11-01","A","R142","4,624,869","27","1,030","171291.0","162,398"
"2017-11-01","A","R142A","842,975","17","220","49587.0","53,605"
"2017-11-01","B","R143","1,060,376","8","212","132547.0","89,418"
"2017-11-01","B","R160","8,956,599","34","1,662","263429.0","233,082"
"2017-11-01","A","R188-CONVERSION","1,179,690","8","380","147461.0","175,306"
"2017-11-01","A","R188-NEW","461,211","1","126","461211.0","445,557"
"2017-11-01","B","R32","579,376","0","251",,
"2017-11-01","B","R42","150,996","0","50",,
"2017-11-01","B","R46","3,381,796","42","752","80519.0","74,303"
"2017-11-01","A","R62","1,202,625","4","315","300656.0","201,496"
"2017-11-01","B","R62A","0","0","824",,"99,451"
"2017-11-01","B","R68","2,007,106","16","425","125444.0","111,082"
"2017-11-01","B","R68A","633,760","6","200","105627.0","91,232"
"2017-10-01","A","R142","4,764,397","18","1,030","264689.0","155,220"
"2017-10-01","A","R142A","928,275","14","220","66305.0","53,862"
"2017-10-01","B","R143","1,146,000","11","212","104182.0","80,015"
"2017-10-01","B","R160","9,231,658","45","1,662","205148.0","231,516"
"2017-10-01","A","R188-CONVERSION","1,333,575","9","380","148175.0","182,531"
"2017-10-01","A","R188-NEW","446,158","1","126","446158.0","443,589"
"2017-10-01","B","R32","663,355","0","251",,
"2017-10-01","B","R42","130,614","0","50",,
"2017-10-01","B","R46","3,469,312","50","752","69386.0","73,706"
"2017-10-01","A","R62","1,239,739","7","315","177106.0","203,473"
"2017-10-01","B","R62A","0","0","824",,"96,397"
"2017-10-01","B","R68","2,115,252","20","425","105763.0","114,514"
"2017-10-01","B","R68A","673,128","4","200","168282.0","97,131"
"2017-09-01","A","R142","4,629,735","25","1,030","185189.0","151,852"
"2017-09-01","A","R142A","865,638","13","220","66588.0","52,335"
"2017-09-01","B","R143","1,078,328","11","212","98030.0","77,921"
"2017-09-01","B","R160","8,608,472","34","1,662","253190.0","232,795"
"2017-09-01","A","R188-CONVERSION","1,311,741","8","380","163968.0","184,097"
"2017-09-01","A","R188-NEW","433,600","0","126",,"443,701"
"2017-09-01","B","R32","694,525","0","251",,
"2017-09-01","B","R42","126,384","0","50",,
"2017-09-01","B","R46","3,392,228","43","752","78889.0","75,809"
"2017-09-01","A","R62","1,176,775","9","315","130753.0","207,806"
"2017-09-01","B","R62A","0","0","824",,"95,195"
"2017-09-01","B","R68","2,009,318","19","425","105754.0","115,520"
"2017-09-01","B","R68A","621,788","6","200","103631.0","94,300"
"2017-08-01","A","R142","5,069,934","43","1,030","117905.0","148,857"
"2017-08-01","A","R142A","990,358","25","220","39614.0","50,953"
"2017-08-01","B","R143","1,150,068","13","212","88467.0","68,193"
"2017-08-01","B","R160","9,455,135","42","1,662","225122.0","236,536"
"2017-08-01","A","R188-CONVERSION","1,352,195","8","380","169024.0","184,197"
"2017-08-01","A","R188-NEW","442,437","4","126","110609.0","445,784"
"2017-08-01","B","R32","675,947","0","251",,
"2017-08-01","B","R42","70,578","0","50",,
"2017-08-01","B","R46","3,570,778","59","752","60522.0","75,779"
"2017-08-01","A","R62","1,308,775","8","315","163597.0","219,311"
"2017-08-01","B","R62A","0","0","824",,"92,217"
"2017-08-01","B","R68","2,131,564","23","425","92677.0","116,594"
"2017-08-01","B","R68A","687,360","13","200","52874.0","86,770"
"2017-07-01","A","R142","4,819,945","44","1,030","109544.0","145,070"
"2017-07-01","A","R142A","925,720","13","220","71209.0","51,002"
"2017-07-01","B","R143","1,082,772","14","212","77341.0","62,493"
"2017-07-01","B","R160","9,005,918","39","1,662","230921.0","231,104"
"2017-07-01","A","R188-CONVERSION","1,311,134","9","380","145682.0","177,785"
"2017-07-01","A","R188-NEW","443,415","2","126","221708.0","597,588"
"2017-07-01","B","R32","734,374","0","251",,
"2017-07-01","B","R42","75,544","0","50",,
"2017-07-01","B","R46","3,408,105","53","752","64304.0","76,864"
"2017-07-01","A","R62","1,234,030","14","315","88145.0","211,521"
"2017-07-01","B","R62A","0","0","824",,"91,184"
"2017-07-01","B","R68","2,037,094","17","425","119829.0","121,175"
"2017-07-01","B","R68A","610,495","8","200","76312.0","93,084"
"2017-06-01","A","R142","4,730,391","31","1,030","152593.0","147,553"
"2017-06-01","A","R142A","916,919","15","220","61128.0","50,797"
"2017-06-01","B","R143","964,348","12","212","80362.0","61,607"
"2017-06-01","B","R160","8,926,970","36","1,662","247971.0","231,728"
"2017-06-01","A","R188-CONVERSION","1,255,520","3","380","418507.0","183,808"
"2017-06-01","A","R188-NEW","463,984","0","126",,"771,150"
"2017-06-01","B","R32","740,342","0","251",,
"2017-06-01","B","R42","162,440","0","50",,
"2017-06-01","B","R46","3,350,107","46","752","72828.0","77,123"
"2017-06-01","A","R62","1,347,925","11","315","122539.0","235,190"
"2017-06-01","A","R62A","3,391,978","37","824","91675.0","84,529"
"2017-06-01","B","R68","2,055,386","18","425","114188.0","119,934"
"2017-06-01","B","R68A","642,347","6","200","107058.0","96,033"
"2017-05-01","A","R142","4,526,788","26","1,030","174107.0","147,453"
"2017-05-01","A","R142A","885,510","10","220","88551.0","49,891"
"2017-05-01","B","R143","955,732","13","212","73518.0","60,234"
"2017-05-01","B","R160","9,116,780","28","1,662","325599.0","236,536"
"2017-05-01","A","R188-CONVERSION","1,312,300","4","380","328075.0","171,432"
"2017-05-01","A","R188-NEW","457,155","0","126",,"770,458"
"2017-05-01","B","R32","780,737","0","251",,
"2017-05-01","B","R42","163,996","0","50",,
"2017-05-01","B","R46","3,501,192","51","752","68651.0","76,262"
"2017-05-01","A","R62","1,505,530","6","315","250922.0","250,632"
"2017-05-01","A","R62A","3,587,820","35","824","102509.0","84,208"
"2017-05-01","B","R68","2,066,573","15","425","137772.0","120,851"
"2017-05-01","B","R68A","668,708","6","200","111451.0","97,090"
"2017-04-01","A","R142","4,614,838","26","1,030","177494.0","146,943"
"2017-04-01","A","R142A","841,835","14","220","60131.0","50,087"
"2017-04-01","B","R143","957,846","9","212","106427.0","58,761"
"2017-04-01","B","R160","8,795,051","42","1,662","209406.0","234,651"
"2017-04-01","A","R188-CONVERSION","1,212,075","12","380","101006.0","173,252"
"2017-04-01","A","R188-NEW","411,275","1","126","411275.0","669,477"
"2017-04-01","B","R32","759,881","0","251",,
"2017-04-01","B","R42","137,148","0","50",,
"2017-04-01","B","R46","3,334,886","39","752","85510.0","78,913"
"2017-04-01","A","R62","1,370,945","3","315","456982.0","258,253"
"2017-04-01","A","R62A","3,433,788","27","824","127177.0","85,379"
"2017-04-01","B","R68","1,983,358","19","425","104387.0","119,324"
"2017-04-01","B","R68A","621,536","9","200","69060.0","96,467"
"2017-03-01","A","R142","4,848,350","24","1,030","202015.0","150,063"
"2017-03-01","A","R142A","897,515","15","220","59834.0","47,908"
"2017-03-01","B","R143","1,013,244","13","212","77942.0","58,348"
"2017-03-01","B","R160","9,371,720","42","1,662","223136.0","235,766"
"2017-03-01","A","R188-CONVERSION","1,136,588","8","380","142074.0","192,171"
"2017-03-01","A","R188-NEW","421,956","0","126",,"760,983"
"2017-03-01","B","R32","751,778","0","251",,
"2017-03-01","B","R42","138,020","0","50",,
"2017-03-01","B","R46","3,511,544","33","752","106410.0","77,150"
"2017-03-01","A","R62","1,347,954","6","315","224659.0","239,387"
"2017-03-01","A","R62A","3,607,407","47","824","76753.0","84,276"
"2017-03-01","B","R68","2,108,876","19","425","110993.0","121,475"
"2017-03-01","B","R68A","690,820","5","200","138164.0","102,833"
"2017-02-01","A","R142","4,487,919","24","1,030","186997.0","149,526"
"2017-02-01","A","R142A","744,030","17","220","43766.0","48,259"
"2017-02-01","B","R143","927,482","10","212","92748.0","56,254"
"2017-02-01","B","R160","8,317,296","30","1,662","277243.0","245,721"
"2017-02-01","A","R188-CONVERSION","1,096,855","6","380","182809.0","197,985"
"2017-02-01","A","R188-NEW","406,703","1","126","406703.0","591,115"
"2017-02-01","B","R32","689,902","0","251",,
"2017-02-01","B","R42","105,304","0","50",,
"2017-02-01","B","R46","3,143,486","38","752","82723.0","73,766"
"2017-02-01","A","R62","1,324,655","4","315","331164.0","216,307"
"2017-02-01","A","R62A","2,965,620","38","824","78043.0","84,988"
"2017-02-01","B","R68","1,880,347","19","425","98966.0","120,840"
"2017-02-01","B","R68A","598,680","8","200","74835.0","99,389"
"2017-01-01","A","R142","4,986,632","35","1,030","142475.0","146,088"
"2017-01-01","A","R142A","848,324","21","220","40396.0","48,988"
"2017-01-01","B","R143","957,572","10","212","95757.0","54,814"
"2017-01-01","B","R160","9,333,007","45","1,662","207400.0","242,160"
"2017-01-01","A","R188-CONVERSION","1,272,830","4","380","318208.0","190,481"
"2017-01-01","A","R188-NEW","449,110","1","126","449110.0","478,906"
"2017-01-01","B","R32","797,387","0","251",,
"2017-01-01","B","R42","145,670","0","50",,
"2017-01-01","B","R46","3,428,162","43","752","79725.0","73,634"
"2017-01-01","A","R62","1,447,745","5","315","289549.0","205,635"
"2017-01-01","A","R62A","3,484,638","23","824","151506.0","85,925"
"2017-01-01","B","R68","2,101,489","17","425","123617.0","114,086"
"2017-01-01","B","R68A","652,720","5","200","130544.0","102,134"
"2016-12-01","A","R142","5,060,347","29","1,030","174495.0","144,983"
"2016-12-01","A","R142A","980,389","25","220","39216.0","49,448"
"2016-12-01","B","R143","1,045,944","14","212","74710.0","53,805"
"2016-12-01","B","R160","9,031,501","47","1,662","192160.0","253,301"
"2016-12-01","A","R188-CONVERSION","1,301,795","7","380","185971.0","176,428"
"2016-12-01","A","R188-NEW","509,680","1","126","509680.0","476,618"
"2016-12-01","B","R32","846,170","0","251",,
"2016-12-01","B","R42","131,012","0","50",,
"2016-12-01","B","R46","3,449,574","54","752","63881.0","73,813"
"2016-12-01","A","R62","1,411,500","2","315","705750.0","198,042"
"2016-12-01","A","R62A","3,516,320","40","824","87908.0","82,447"
"2016-12-01","B","R68","2,163,913","20","425","108196.0","117,532"
"2016-12-01","B","R68A","653,404","9","200","72600.0","99,001"
"2016-11-01","A","R142","4,737,077","44","1,030","107661.0","143,586"
"2016-11-01","A","R142A","947,905","18","220","52661.0","49,146"
"2016-11-01","B","R143","963,032","23","212","41871.0","53,651"
"2016-11-01","B","R160","8,693,012","36","1,662","241473.0","268,080"
"2016-11-01","A","R188-CONVERSION","1,253,500","5","380","250700.0","180,571"
"2016-11-01","A","R188-NEW","437,595","1","126","437595.0","521,106"
"2016-11-01","B","R32","803,268","0","251",,
"2016-11-01","B","R42","138,204","0","50",,
"2016-11-01","B","R46","3,347,585","46","752","72774.0","75,772"
"2016-11-01","A","R62","1,358,824","4","315","339706.0","189,437"
"2016-11-01","A","R62A","3,397,792","35","824","97080.0","82,530"
"2016-11-01","B","R68","2,081,879","10","425","208188.0","117,674"
"2016-11-01","B","R68A","649,500","1","200","649500.0","101,341"
"2016-10-01","A","R142","4,888,005","27","1,030","181037.0","142,563"
"2016-10-01","A","R142A","936,900","20","220","46845.0","47,613"
"2016-10-01","B","R143","1,059,280","14","212","75663.0","57,902"
"2016-10-01","B","R160","8,896,523","41","1,662","216988.0","277,667"
"2016-10-01","A","R188-CONVERSION","1,279,395","8","380","159924.0","167,570"
"2016-10-01","A","R188-NEW","447,500","1","126","447500.0","520,720"
"2016-10-01","B","R32","703,449","0","251",,
"2016-10-01","B","R42","143,949","0","50",,
"2016-10-01","B","R46","3,271,875","32","752","102246.0","77,116"
"2016-10-01","A","R62","1,166,385","5","315","233277.0","181,061"
"2016-10-01","A","R62A","3,442,522","47","824","73245.0","82,900"
"2016-10-01","B","R68","1,985,976","17","425","116822.0","116,334"
"2016-10-01","B","R68A","635,244","6","200","105874.0","95,096"
"2016-09-01","A","R142","4,837,404","34","1,030","142277.0","140,587"
"2016-09-01","A","R142A","937,620","20","220","46881.0","48,078"
"2016-09-01","B","R143","992,772","32","212","31024.0","56,423"
"2016-09-01","B","R160","8,680,761","27","1,662","321510.0","286,655"
"2016-09-01","A","R188-CONVERSION","1,320,007","8","380","165001.0","160,058"
"2016-09-01","A","R188-NEW","458,594","0","126",,"581,362"
"2016-09-01","B","R32","717,644","0","251",,
"2016-09-01","B","R42","127,262","0","50",,
"2016-09-01","B","R46","3,224,222","41","752","78640.0","78,347"
"2016-09-01","A","R62","1,185,445","5","315","237089.0","176,174"
"2016-09-01","A","R62A","3,331,221","47","824","70877.0","83,438"
"2016-09-01","B","R68","2,004,932","17","425","117937.0","114,670"
"2016-09-01","B","R68A","611,732","13","200","47056.0","101,599"
"2016-08-01","A","R142","5,200,102","54","1,030","96298.0","141,125"
"2016-08-01","A","R142A","1,102,713","27","220","40841.0","48,435"
"2016-08-01","B","R143","1,016,100","27","212","37633.0","60,738"
"2016-08-01","B","R160","9,295,040","52","1,662","178751.0","281,764"
"2016-08-01","A","R188-CONVERSION","1,359,758","11","378","123614.0","158,035"
"2016-08-01","A","R188-NEW","471,323","1","126","471323.0","576,991"
"2016-08-01","B","R32","692,194","0","251",,
"2016-08-01","B","R42","126,458","0","50",,
"2016-08-01","B","R46","3,382,920","49","752","69039.0","79,001"
"2016-08-01","A","R62","1,374,640","11","315","124967.0","174,724"
"2016-08-01","A","R62A","3,493,518","68","824","51375.0","84,451"
"2016-08-01","B","R68","2,128,663","15","425","141911.0","116,367"
"2016-08-01","B","R68A","597,668","6","200","99611.0","114,040"
"2016-07-01","A","R142","4,775,337","37","1,030","129063.0","151,128"
"2016-07-01","A","R142A","1,034,125","16","220","64633.0","48,322"
"2016-07-01","B","R143","1,036,892","16","212","64806.0","64,107"
"2016-07-01","B","R160","8,832,560","37","1,662","238718.0","306,076"
"2016-07-01","A","R188-CONVERSION","1,271,648","6","377","211941.0","166,866"
"2016-07-01","A","R188-NEW","463,173","0","126",,"573,728"
"2016-07-01","B","R32","649,862","0","251",,
"2016-07-01","B","R42","138,412","0","50",,
"2016-07-01","B","R46","3,312,617","50","752","66252.0","80,937"
"2016-07-01","A","R62","1,386,540","7","315","198077.0","181,358"
"2016-07-01","A","R62A","3,259,187","40","824","81480.0","89,411"
"2016-07-01","B","R68","2,025,083","19","425","106583.0","115,976"
"2016-07-01","B","R68A","564,252","5","200","112850.0","121,845"
"2016-06-01","A","R142","4,838,609","32","1,030","151207.0","154,534"
"2016-06-01","A","R142A","1,018,630","21","220","48506.0","45,241"
"2016-06-01","B","R143","940,252","16","212","58766.0","61,702"
"2016-06-01","B","R160","8,787,572","26","1,662","337984.0","317,875"
"2016-06-01","A","R188-CONVERSION","1,269,261","9","358","141029.0","151,997"
"2016-06-01","A","R188-NEW","459,143","0","124",,"471,946"
"2016-06-01","B","R32","756,908","0","251",,
"2016-06-01","B","R42","132,482","0","50",,
"2016-06-01","B","R46","3,282,149","51","752","64356.0","83,021"
"2016-06-01","A","R62","1,410,925","7","315","201561.0","187,662"
"2016-06-01","A","R62A","3,320,882","38","824","87392.0","88,834"
"2016-06-01","B","R68","2,001,728","16","425","125108.0","118,038"
"2016-06-01","B","R68A","628,728","5","200","125746.0","119,049"
"2016-05-01","A","R142","4,767,860","29","1,030","164409.0","155,047"
"2016-05-01","A","R142A","1,029,595","12","220","85800.0","45,581"
"2016-05-01","B","R143","959,300","18","212","53294.0","61,346"
"2016-05-01","B","R160","8,732,369","30","1,662","291079.0","315,794"
"2016-05-01","A","R188-CONVERSION","1,299,245","3","348","433082.0","138,950"
"2016-05-01","A","R188-NEW","419,767","1","123","419767.0","435,944"
"2016-05-01","B","R32","762,691","0","251",,
"2016-05-01","B","R42","147,674","0","50",,
"2016-05-01","B","R46","3,319,684","31","752","107087.0","86,452"
"2016-05-01","A","R62","1,484,390","4","315","371098.0","195,746"
"2016-05-01","A","R62A","3,301,961","25","824","132078.0","92,333"
"2016-05-01","B","R68","1,995,196","17","425","117364.0","118,583"
"2016-05-01","B","R68A","620,169","6","200","103362.0","123,232"
"2016-04-01","A","R142","4,496,515","17","1,030","264501.0","154,027"
"2016-04-01","A","R142A","972,235","27","220","36009.0","44,183"
"2016-04-01","B","R143","874,340","9","212","97149.0","63,288"
"2016-04-01","B","R160","8,830,594","40","1,662","220765.0","327,424"
"2016-04-01","A","R188-CONVERSION","1,128,486","3","336","376162.0","123,749"
"2016-04-01","A","R188-NEW","382,339","0","122",,"352,508"
"2016-04-01","B","R32","740,447","0","251",,
"2016-04-01","B","R42","151,194","0","50",,
"2016-04-01","B","R46","3,212,583","49","752","65563.0","89,737"
"2016-04-01","A","R62","1,379,315","8","315","172414.0","190,676"
"2016-04-01","A","R62A","3,331,530","32","824","104110.0","91,604"
"2016-04-01","B","R68","1,938,358","15","425","129224.0","119,903"
"2016-04-01","B","R68A","603,908","4","200","150977.0","128,833"
"2016-03-01","A","R142","5,089,695","27","1,030","188507.0","148,800"
"2016-03-01","A","R142A","1,029,675","16","250","64355.0","45,712"
"2016-03-01","B","R143","984,200","20","212","49210.0","62,398"
"2016-03-01","B","R160","9,212,624","23","1,662","400549.0","342,377"
"2016-03-01","A","R188-CONVERSION","1,194,073","6","318","199012.0","117,481"
"2016-03-01","A","R188-NEW","415,109","2","120","207555.0","314,960"
"2016-03-01","B","R32","833,845","0","251",,
"2016-03-01","B","R42","154,036","0","50",,
"2016-03-01","B","R46","3,385,094","55","752","61547.0","95,373"
"2016-03-01","A","R62","1,508,950","14","315","107782.0","182,866"
"2016-03-01","A","R62A","3,524,233","42","824","83910.0","93,882"
"2016-03-01","B","R68","2,102,046","20","425","105102.0","119,262"
"2016-03-01","B","R68A","638,164","7","200","91166.0","126,556"
"2016-02-01","A","R142","4,757,754","35","1,030","135936.0","149,486"
